size, time
./times.txt, nada
10, 1.3488555555555554e-05
100, 0.009901160555555557
200, 0.07704269999999999
400, 0.6751706111111111
600, 2.3464666666666667
800, 5.743924166666666
1000, 11.74561
2000, 126.7019
4000, 1103.011
./th_times.txt, nada
10, 0.0034929321
100, 0.018282684
200, 0.04845358
400, 0.2102214
600, 0.6223120000000001
800, 1.4263919999999999
1000, 3.101483
2000, 27.607490000000002
3000, 96.29116
4000, 238.65249999999997
./proc_times.txt, nada
10, 0.00604409885
100, 0.015796287000000003
200, 0.03336065366666666
400, 0.22106098
600, 0.5084582
800, 0.8659965999999999
1000, 1.438398
2000, 14.55022
3000, 55.92638000000001
4000, 139.11700000000002
